protein_id,class_id
8ugd_8:R:3U_model1,96
8h0v_18:R:c_model1,86
3j3q_1:DX:4F_model1,8
4u4u_23:XC:d1_model1,83
6rny_4:H:H_model1,34
5cp6_5:E:C_model1,14
7btb_26:Z:Z_model1,45
6esh_4:H:H_model1,70
7w37_20:RA:T_model1,33
6epf_12:L:5_model1,20
8shp_9:Q:z_model1,75
3j3y_1:FOA:56_model1,8
3j6y_64:LB:17_model1,0
7mpi_3:C:BC_model1,87
6ylx_23:W:a_model1,74
7vuy_2:B:A_model1,21
8ieg_3:C:C_model1,14
8rae_1:A:A_model1,15
4a0v_1:N:N_model1,66
3j3q_1:LX:aS_model1,8
5dc3_64:NE:n8_model1,74
3j3q_1:MOA:b0_model1,8
3j3q_1:RAA:eh_model1,8
8sn1_3:C:C_model1,14
6nr9_8:H:H_model1,35
3j3q_1:NBA:bQ_model1,8
8evt_24:X:BR_model1,0
8j20_3:C:C_model1,21
4yxw_3:G:G_model1,38
3j3q_1:NPA:bs_model1,8
6qt0_23:W:W_model1,62
6fyy_21:U:R_model1,12
7asl_1:B:B_model1,8
3j3q_1:XS:kC_model1,8
3j3q_1:AZ:1n_model1,8
3j3y_1:OMA:b4_model1,8
3j3q_1:IG:7r_model1,8
7pmg_2:B:C_model1,90
7qya_30:DA:R_model1,60
1m19_5:J:H_model1,70
7crp_4:D:D_model1,70
3j3q_1:XIA:ju_model1,8
7w3a_19:S:s_model1,92
8pw6_63:WB:l1_model1,18
4v8u_38:QC:DC_model1,11
3hmg_2:F:F_model1,53
5cpk_4:D:D_model1,56
7swy_4:D:D_model1,56
7pj1_1:A:A_model1,14
3j6x_69:QB:22_model1,17
8d14_1:A:A_model1,90
3j3y_1:DG:3N_model1,8
6qc4_34:RA:B8_model1,81
5xrt_2:D:D_model1,51
7nj5_3:C:C_model1,84
4u3n_53:AB:M7_model1,37
7r7a_56:DB:a_model1,55
4u52_53:CE:m7_model1,37
5dat_11:K:S9_model1,16
4u4z_53:AB:M7_model1,37
6lqv_8:H:SK_model1,16
4b1x_1:A:B_model1,90
7w38_16:P:q_model1,69
9az4_1:D:D_model1,90
3j3q_1:QP:eK_model1,8
4v90_37:KA:BC_model1,11
6kxv_3:C:C_model1,86
6zks_40:OA:v_model1,81
7td0_3:C:A_model1,94
6skk_1:E:E_model1,8
4u3n_15:PC:c3_model1,91
3j3y_1:ZU:u_model1,8
7bt7_1:E:E_model1,90
3c1c_3:G:G_model1,14
7v5m_9:I:I_model1,71
3j3q_1:OC:cG_model1,8
8qv9_1:A:A_model1,25
5dat_53:CE:m7_model1,37
6fyy_6:F:C_model1,65
1mxo_1:A:A_model1,54
4v8t_27:AA:a_model1,74
7e8d_3:C:C_model1,14
3j3y_1:SHA:dm_model1,8
3o88_1:A:A_model1,54
8stt_1:A:A_model1,32
3grj_1:B:B_model1,54
8cmj_79:AC:y_model1,17
4a0v_1:C:C_model1,66
7zux_20:T:DN_model1,91
7xzz_4:D:D_model1,56
5ndw_16:FA:d1_model1,83
3j3q_1:FI:5R_model1,8
6g2t_1:B:B_model1,61
3mec_1:A:A_model1,22
3j3q_1:LTA:aL_model1,8
6r93_5:E:C_model1,86
1zho_2:G:E_model1,6
7qxx_30:RA:r_model1,60
7top_19:S:AL17_model1,37
3j3q_1:YQA:kz_model1,8
7xtd_29:CA:d_model1,56
4d6u_8:H:H_model1,46
5dgf_24:YC:d2_model1,17
7pet_4:D:H_model1,79
7nao_8:V:V_model1,71
9azp_1:E:E_model1,90
4qgb_1:A:A_model1,6
7d5s_5:E:SK_model1,16
3wa9_4:H:H_model1,56
3j3y_1:NF:a7_model1,8
5lyb_19:S:C7_model1,0
3j3q_1:RXA:fQ_model1,8
6c1g_3:F:D_model1,90
6inq_19:W:h_model1,56
4u52_24:YC:d2_model1,17
3azj_3:G:G_model1,86
4kt0_3:C:C_model1,41
3j3y_1:HDA:6C_model1,8
7zdp_25:Y:v_model1,81
3j3q_1:ZFA:la_model1,8
3a6n_4:H:H_model1,56
4u4y_63:KB:N7_model1,45
1azi_1:A:A_model1,15
6r8y_4:H:H_model1,56
3j3y_1:RB:cr_model1,8
7yyh_4:D:D_model1,34
8sn5_3:C:C_model1,14
8iai_4:J:B_model1,61
3j3y_1:XCA:hB_model1,8
5dgv_53:CE:m7_model1,37
4wqy_3:HB:CC_model1,11
2bls_1:B:B_model1,54
8av6_11:O:O_model1,14
6t20_1:D:D_model1,90
8r9g_1:A:A_model1,15
7t10_2:B:A_model1,94
4kza_1:B:B_model1,54
5h4p_8:H:E_model1,5
2w49_5:S:L_model1,90
4a13_1:I:I_model1,66
8h0w_18:V:g_model1,86
3j3y_1:LO:9O_model1,8
6la2_3:M:a_model1,14
1dwt_1:A:A_model1,15
3lue_1:D:D_model1,61
1eqy_2:B:A_model1,90
5xf3_4:D:D_model1,56
8p8n_42:PA:LJ_model1,5
5av9_4:H:H_model1,56
7vig_5:E:D_model1,21
6i7o_36:JA:G_model1,0
8v28_4:H:H_model1,56
1m18_5:F:D_model1,70
6l49_3:C:C_model1,86
3j8k_1:G:G_model1,90
6vz4_3:G:G_model5,40
1wua_1:A:A_model1,90
3j3y_1:VF:fq_model1,8
6g2t_1:C:C_model1,61
7trq_5:E:A_model1,64
2jiz_3:G:G_model1,38
2g0x_1:A:A_model2,88
8azk_13:AA:1_model1,92
3j3y_1:XL:hS_model1,8
3lp0_1:A:A_model1,32
8tqp_1:H:H_model1,25
5mva_1:S:S_model1,90
1o18_4:Z:Z_model1,90
6y5d_4:T:T_model1,79
6le9_4:D:D_model1,56
3j3q_1:QR:eO_model1,8
8osj_3:C:C_model1,86
8q36_5:I:HHH_model1,56
7zuw_64:LB:BZ_model1,74
5oj9_1:A:A_model1,19
6j4y_21:Y:g_model1,86
8f22_1:J:J_model1,25
3j3q_1:DLA:3t_model1,8
7lyb_9:M:G_model1,14
2xv6_1:C:C_model1,1
5jrg_4:D:D_model1,56
3j3y_1:OBA:aj_model1,8
7slr_1:B:B_model1,22
1hgj_2:D:D_model1,53
8bn3_28:BA:D1_model1,83
3j3y_1:YI:i4_model1,8
7vys_11:K:c_model1,18
4u50_43:QA:L6_model1,5
4u56_24:X:D2_model1,17
8i7w_2:B:B_model1,21
3kuy_4:H:H_model1,70
8ykw_1:A:A_model1,64
3j3q_1:KRA:9s_model1,8
3tu4_4:H:H_model1,70
4wqy_3:C:AC_model1,11
8cbj_32:FA:W_model1,17
8ra7_1:A:A_model1,15
2w49_5:Q:J_model1,90
4u50_24:YC:d2_model1,17
7vvu_7:K:U_model1,93
8glv_86:BKA:JD_model1,61
3j3y_1:FO:55_model1,8
3j3y_1:QAA:c7_model1,8
5ndg_19:S:C7_model1,0
3j3y_1:TOA:ei_model1,8
6bno_1:C:C_model1,90
4ym5_4:H:H_model1,56
7x7y_8:P:z_model1,75
4b2t_8:H:Z_model1,63
6yn1_1:U:e_model1,14
1iru_13:AA:1_model1,92
8g6g_3:G:G_model1,40
3j3y_1:RL:dA_model1,8
3j3y_1:VZ:gM_model1,8
3j3y_1:CLA:2p_model1,8
6skm_1:B:B_model1,8
8evj_6:F:D_model1,56
3j3q_1:QTA:eT_model1,8
3j3y_1:AIA:1G_model1,8
3j3y_1:BO:2A_model1,8
3j3q_1:ZYA:y_model1,8
8cvr_14:N:b_model1,33
7zs5_32:FA:Bb_model1,74
7u4d_4:H:H_model1,34
4hvu_1:A:A_model1,48
6upv_2:F:D_model1,90
4fnk_2:B:B_model1,59
8yvp_7:L:X_model1,28
5wfn_1:A:A_model1,61
6n8j_4:D:a_model1,74
7sx9_1:C:C_model1,90
4gy2_2:B:B_model1,90
3j3q_1:ZSA:m_model1,8
6vau_1:B:B_model1,90
7bt6_5:E:E_model1,5
8sn8_4:H:H_model1,56
5gsu_3:E:C_model1,14
3j3y_1:CG:2e_model1,8
4pao_1:A:A_model1,94
6ler_3:C:C_model1,14
7w3a_18:R:r_model1,60
4u51_19:TC:c7_model1,0
4u4r_4:D:S2_model1,87
3j3q_1:UMA:hY_model1,8
8pw6_8:H:H_model1,96
8j6l_1:A:A_model1,64
6zke_40:OA:v_model1,81
3j3q_1:G:6_model1,8
6kiw_4:H:H_model1,56
3j3y_1:MIA:9w_model1,8
3j3q_1:ED:4S_model1,8
6see_3:C:C_model1,14
8r9i_1:A:A_model1,15
6t7i_5:E:SC_model1,87
4jxs_1:B:B_model1,54
5av8_3:C:C_model1,86
7taz_1:A:A_model1,9
5jus_5:E:E_model1,55
7pii_4:H:H_model1,34
7u4d_3:N:N_model1,31
4fqr_2:P:P_model1,59
3a5n_2:B:C_model1,61
3j3q_1:DBA:3Z_model1,8
8r9j_1:A:A_model1,15
6yov_4:H:H_model1,56
9ja0_1:G:G_model1,8
5thf_2:B:B_model1,59
6rbe_13:M:R_model1,0
7pfx_4:H:R_model1,79
7kjx_1:A:A_model1,32
8evi_6:J:H_model1,56
7nvl_9:R:z_model1,75
6ltj_7:K:K_model1,61
5onv_1:C:C_model1,90
8h9u_3:G:G_model1,36
7d63_10:J:SK_model1,16
3j3y_1:LS:9W_model1,8
8shf_9:I:Z_model1,75
3j3y_1:LG:98_model1,8
3i0s_1:A:A_model1,22
3j3y_1:FX:5J_model1,8
7w3m_18:QA:R_model1,60
6zki_40:OA:v_model1,81
5ggw_1:A:A_model1,57
8osj_3:G:G_model1,86
7ug6_19:S:P_model1,37
7bt7_1:C:C_model1,90
5av8_4:D:D_model1,56
7pm3_1:A:B_model1,90
6k1p_4:D:D_model1,70
5xm0_4:H:H_model1,56
8uz1_1:I:R_model1,90
5vfs_13:M:s_model1,92
6jm9_6:F:D_model1,56
5ley_8:V:V_model1,71
6usj_5:E:C_model1,86
8v7l_4:D:D_model1,70
6vao_1:C:B_model1,90
3x1v_4:I:G_model1,14
6z6j_63:KB:LZ_model1,45
5oxv_2:F:H_model1,70
7ksq_7:G:C_model1,43
3j3y_1:GGA:5a_model1,8
4a13_1:F:F_model1,66
3j3q_1:KOA:9m_model1,8
4v88_63:KB:BZ_model1,45
6vz4_3:C:C_model9,40
8hki_3:F:d_model1,52
7y7i_4:H:H_model1,56
5av9_4:D:D_model1,56
6zqn_3:G:G_model1,38
6kwy_11:Y:Y_model1,60
4twu_1:A:A_model1,88
4v6i_44:RA:BO_model1,74
3j3y_1:MLA:C_model1,8
6ler_3:G:G_model1,14
3kle_1:A:A_model1,32
2rvq_1:A:C_model4,14
4wyb_1:O:O_model1,90
3j3q_1:KM:9h_model1,8
8oid_1:E:E_model1,61
4u4n_23:W:D1_model1,83
1p3a_4:E:C_model1,49
8feg_1:A:C_model1,64
8jh3_18:V:g_model1,14
7bt6_24:X:Z_model1,45
3j3y_1:DU:3o_model1,8
3j3q_1:ENA:4n_model1,8
1xgi_1:B:B_model1,54
7wbv_22:Z:h_model1,56
5ycj_1:A:A_model1,88
8ffx_1:A:A_model1,9
6a5p_19:S:d_model1,56
5m1j_66:NB:P5_model1,37
5vfp_13:KA:S_model1,92
2q0r_1:A:A_model1,90
3mnn_4:D:D_model1,70
2fri_1:A:X_model1,15
5it9_10:J:J_model1,76
8i7j_19:S:R_model1,12
3j3q_1:TL:gg_model1,8
6zkv_40:OA:v_model1,81
3j3q_1:TEA:gT_model1,8
7d20_3:D:C_model1,86
3j3q_1:MMA:ax_model1,8
3j3q_1:VG:iA_model1,8
7cow_6:R:R_model1,56
4hvv_1:A:A_model1,48
3j3y_1:OB:ai_model1,8
7vdl_1:A:A_model1,21
3j3q_1:WK:j7_model1,8
8ceo_50:BB:u_model1,70
1yag_1:A:A_model1,61
8w8b_1:A:A_model1,64
3jam_11:K:J_model1,76
3j3q_1:ZDA:lO_model1,8
5dc3_64:LB:N8_model1,74
6gvc_1:B:B_model1,90
3j3q_1:GJ:6I_model1,8
3lal_1:B:B_model1,22
8tof_10:L:c_model1,40
3b6g_5:I:G_model1,14
8du4_3:G:G_model1,40
2pu2_1:B:B_model1,54
7w3a_19:GA:S_model1,92
7swy_4:H:H_model1,56
3j3q_1:PLA:dO_model1,8
2q1n_1:B:B_model1,90
7pm0_3:C:C_model1,90
1k0t_1:A:A_model16,41
3j3q_1:RE:eo_model1,8
5obm_55:CB:S9_model1,16
7wfe_3:C:BC_model1,43
6y9v_1:B:B_model1,8
4u3n_23:XC:d1_model1,83
4g5r_1:D:D_model1,94
3j3q_1:TKA:gf_model1,8
8cvs_8:V:V_model1,71
6vz4_4:H:H_model3,56
6znn_2:B:H_model1,61
4u4r_53:CE:m7_model1,37
8p94_8:J:J_model1,61
5gzw_1:B:B_model1,57
5gjr_31:EA:f_model1,92
3j3q_1:PQA:dY_model1,8
4u0b_1:C:C_model1,25
6l4a_3:C:C_model1,86
